transcript_id,media_start,media_end,gloss,speaker_role,language,corpus_name,Language_name,Language_Family,Language_Genus,target_child_age,caregiver,target_child_id,contingent
643,1950.373,1950.46,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,1954.162,1954.508,jo on,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,1954.9,1955.866,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,1956.588,1956.764,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,1958.36,1958.837,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,1962.02,1962.634,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,1970.58,1971.675,bak'ejaix jilel a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,1972.845,1974.443,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,1973.081,1974.532,bak'ejaix a ja'nax ya jk'anini,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,1975.177,1975.511,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,1984.191,1984.724,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,1991.673,1992.2,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,1992.54,1992.884,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,1994.607,1998.462,maxa tsakulamene ya me' ya me' tayatik a me bi a kuchoje,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,1998.958,2000.379,maxa tsakmene k'eja,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,1998.959,1999.206,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2002.788,2003.001,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2003.725,2005.249,ya me xwilbel ya'tik me bi-,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2005.105,2005.246,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2005.915,2007.548,ja'menin bi a kuchoje,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2008.336,2008.678,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2016.491,2017.69,joo maxa pikula i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2034.837,2034.993,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2038.595,2041.422,joo ya kuchix a ya xban ta sak'omajel,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2044.813,2045.053,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2051.075,2057.866,yak i ba juna ta tajimalek'i ba tajinanik ja'muk' ma ak'a s- mame ak'a sta ta pikel ime bai ala bujule,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2058.819,2059.397,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2059.578,2060.477,maxa pikek'i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2061.758,2062.064,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2074.436,2074.797,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2079.003,2080.802,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2085.599,2086.123,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2088.187,2088.808,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2092.234,2092.807,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2104.886,2105.786,bixi la spas,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2105.888,2107.67,maxa' mak imene maxa' mak,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2108.367,2113.444,jmm xit xit ya me xloktek'ame ya jola'bae,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2114.499,2118.421,maxa' pas jichek'imene yak nax i ya me smak k'optika'way i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2115.518,2116.142,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2120.299,2120.501,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2122.508,2122.97,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2123.228,2125.629,mame ayuk xa'walik xan chopol k'opek'i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2123.817,2123.98,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2125.746,2127.059,c,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2127,2127.799,yu'ay stak'i i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2131.736,2131.957,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2134.647,2135.43,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2138.863,2139.456,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2140.566,2141.361,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2143.036,2144.05,tsakbetal i tseke,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2145.006,2145.272,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2146.398,2146.697,jmm mm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2146.869,2148.189,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2147.836,2149.954,kapaime la jo on ma'yuk ka'wak'oben,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2151.402,2152.381,sumeba i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2152.79,2154.416,hypogloso me la wak'beni,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2154.713,2156.022,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2159.781,2159.918,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2159.899,2163.912,sumeba i aki ma ba tsekeli a 'wich'otal i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2164.123,2164.524,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2164.967,2167.304,ma hypoglosooki la' tsaktal ch'i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2166.182,2166.547,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2170.075,2171.323,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2174.615,2175.865,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2175.929,2177.029,mame' pikmene,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2178.104,2178.495,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2181.609,2182.361,ja' jichek'aima,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2184.359,2184.837,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2185.825,2189.848,ma ba xk'optawan ja'te ya xlok'bela i k'optik biya kaltike,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2188.062,2188.215,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2190.754,2191.416,joo,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2192.182,2192.345,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2192.526,2193.05,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,1
643,2199.11,2199.303,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2203.889,2204.044,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2205.977,2206.091,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2207.853,2208.065,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
643,2220.849,2222.941,ba bajt i xchuxtaix ch'i ay la' k'ibeix,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2224.021,2225.586,ay la' k'iybe- la k'iybeix,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2225.833,2226.779,aa ja'i la'-,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2227.995,2228.96,la'wak'benxanbima,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,2,caregiver,643,0
643,2242.315,2242.652,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,2,target_child,643,0
